eid,is_error,num_mentions,max_num_same_meaning
2_0_444178,FALSE,2,2
2_0_753619,FALSE,7,7
2_0_1368979,FALSE,3,3
2_0_2107265,FALSE,4,1
2_0_1543335,TRUE,4,0
2_0_1245786,FALSE,9,9
2_0_542264,FALSE,3,3
2_0_739813,FALSE,4,4
2_0_813518,FALSE,5,5
2_0_708204,FALSE,4,4
2_0_608841,FALSE,3,3
2_0_2010980,TRUE,3,0
2_0_2637431,FALSE,3,3
2_0_1047922,FALSE,8,6
2_0_1470254,TRUE,3,0
2_0_675121,FALSE,3,3
2_0_590039,FALSE,11,11
2_0_2024473,FALSE,3,3
2_0_1058245,FALSE,6,6
2_0_987390,FALSE,4,4
2_0_1903549,TRUE,4,0
2_0_1860712,FALSE,5,5
2_0_404424,FALSE,7,7
2_0_2113499,TRUE,3,0
2_0_1425787,TRUE,5,0
2_0_984283,TRUE,9,0
2_0_509807,TRUE,6,0
2_0_1259303,FALSE,5,5
2_0_2430833,FALSE,3,3
2_0_1217052,FALSE,4,4
2_0_2656518,TRUE,4,0
2_0_652250,TRUE,11,0
2_0_1093427,FALSE,3,3
2_0_461875,FALSE,4,4
2_0_1031479,TRUE,4,0
2_0_1647449,TRUE,4,0
2_0_1422866,TRUE,3,0
2_0_792919,FALSE,3,3
2_0_774277,FALSE,3,3
2_0_1778868,FALSE,7,7
2_0_441374,FALSE,3,3
2_0_386799,TRUE,3,0
2_0_1302356,TRUE,5,0
2_0_1790379,TRUE,6,0
2_0_2879803,TRUE,4,0
2_0_1262088,TRUE,11,0
2_0_366500,FALSE,3,2
2_0_982896,FALSE,5,5
2_0_468017,FALSE,2,2
2_0_1573752,TRUE,6,0
